,Article,Keywords,Location,Latitude,Longitude,Timestamp,Date mm-dd-yyyy,Crime
0,"A nine-year-old Dalit girl who was allegedly raped and murdered by a priest and his accomplices at a crematorium near Delhi cantonment on August 1 died due to “suffocation” during the sexual assault, the Delhi Police have told a city court ,citing disclosure statements of two accused in the case.Quoting the disclosure statement of one of the accused, the police said in a document submitted in court -- parts of it were seen by HT -- that priest Radhey Shyam put his hand on the mouth of the minor victim while sexually assaulting her following which she couldn’t breathe and died due to “suffocation”. Kuldeep Singh allegedly held the victim’s hand while she was being assaulted by Shyam.
 
 This is the first time the girl’s cause of death has come to light, and it appears to debunk the claims made by the accused. The accused, 55-year-old Shyam and his three associates, Kuldeep Singh, Salim Ahmed and Laxmi Narayan, have maintained that the girl died of electrocution while fetching water from a cooler. The girl’s family alleged that the suspects hurriedly cremated the body after raping her.","['year', 'crematorium', 'laxmi narayan', 'sexual assault', 'disclosure statement', 'girl', 'parts', 'old dalit girl', 'disclosure statements', 'victim', 'claims', 'electrocution', 'shyam', 'city court', 'first time', 'priest', 'document', 'associates', 'salim ahmed', 'delhi police', 'water', 'suspects', 'minor victim', 'family', 'court', 'death', 'august', 'police', 'old shyam', 'cause', 'ht', 'case', 'delhi', 'cooler', 'body', 'accomplices', 'suffocation', 'hand', 'light', 'mouth', 'priest radhey shyam', 'kuldeep singh']","Delhi, Delhi Cantonment",28.61767496,77.15120691,11:00:00,08-01-2021,Rape
1,"In Dramatic Chase-And-Catch, Delhi Cop Stabbed But Arrests Snatcher. Cop from 'Hawk Eye' team shoots at and catches man accused in 30 cases of snatching. In a chase-and-catch that ended with a tabbing and a gunshot, a cop from the 'Hawk Eye' team of Delhi Police caught an alleged snatcher despite suffering injuries in Bawana area today. The arrested man is accused in 30 cases of snatching, police said. 
 Head Constable Chetan and Constable Pradeep were patrolling the area in a car when they got the information around 10.30 am that ""a dangerous snatcher and his associate are in the area on motorcycle, carrying a knife"", said Outer Delhi police chief Brijendra Kumar Yadav.
 
 The cops spotted the two of them — identified as Irfan and Rahul, both aged 24 — near a traffic roundabout in Sector 1 of Bawana. Their bike's number-plates were covered with paper, police said. 
 
 Head Constable Chetan blocked their way with the car as they tried to speed away, and the two men fell off their bike. Irshad stabbed Head Constable Chetan in his right shoulder and sought to scamper away, police said. The cop first warned him and then shot him in his legs with his service revolver, police added.","['bawana area today', 'plates', 'legs', 'dramatic chase', 'team', 'man', 'police', 'head constable chetan', 'irfan', 'irshad', 'gunshot', 'motorcycle', 'associate', 'dangerous snatcher', 'rahul', 'car', 'bike', 'sector', 'paper', 'men', 'team shoots', 'injuries', 'outer delhi police chief brijendra kumar yadav', 'chase', 'service revolver', 'traffic roundabout', 'area', 'cop', 'snatcher', 'hawk eye', 'way', 'cops', 'constable pradeep', 'cases', 'catch', 'bawana', 'number', 'delhi police', 'information', 'knife', 'delhi cop stabbed but arrests snatcher', 'tabbing', 'right shoulder']",Bawana Area,28.80002945,77.04627141,10:30:00,04-08-2022,Snatching
2,"13 Arrested For Running Fake Call Centre In Delhi, Cheating NRIs
 Delhi: The accused admitted they used to communicate with NRIs to cheat them by impersonating as police or government officials of that country, police said. The cyber wing of the south east district police arrested 13 people for allegedly running a fake international call center and duping Non-Resident Indians (NRIs), in Delhi on Wednesday.
 According to the police, computers and accessories were installed to communicate with the NRIs, and the accused allegedly did that posing as officials and ask for money.
 
 ""Twenty mobile phones, 11 computer monitors, 11 CPUs, 11 keyboards, 10 headphones, one wi-fi router, one Mahindra Thar, and one i-20 car were recovered from their possession,"" the police said.
 
 When the location was raided, the accused were talking to Indians living abroad, the police added.
 
 Following the case, an FIR was registered at PS Cyber Police Station under relevant sections of the Indian Penal Code (IPC). Further investigation is on. Deputy Commissioner of Police (South East) Esha Pandey said, ""On sustained interrogation, accused persons disclosed that they used to communicate with Indians living abroad (NRIs) to dupe them by impersonating as police or government officials of that respective country.""
 
 ""They used to tell them that their national identity number has been found involved in criminal activities and if they wanted to get acquitted from those criminal charges, they would have to pay a certain amount as a fine. The victims used to pay them through cash or online gift cards to emancipate themselves from such fake charges,"" the DCP further said.","['persons', 'fine', 'cash', 'relevant sections', 'computers', 'police', 'officials', 'respective country', 'money', 'dcp', 'cyber wing', 'car', 'victims', 'cpus', 'computer monitors', 'cheating nris', 'headphones', 'possession', 'mobile phones', 'non -', 'deputy commissioner', 'fir', 'ipc', 'government officials', 'criminal activities', 'national identity number', 'delhi', 'such fake charges', 'south east', 'online gift cards', 'criminal charges', 'ps cyber police station', 'location', 'sustained interrogation', 'posing', 'nris', 'accessories', 'resident indians', 'wednesday', 'fi router', 'fake call centre', 'case', 'indians', 'certain amount', 'indian penal code', 'fake international call center', 'further investigation', 'mahindra thar', 'keyboards', 'country', 'people', 'south east district police', 'esha pandey']",Delhi,28.60930971,77.21956404,19:00:00,08-03-2022,Fake call centers
3,"Man Stabbed To Death By Group Of Men In Delhi
 The team has zeroed in on the suspects and the culprits are expected to be arrested soon, a police official said. A 22-year-old man was stabbed to death allegedly by a group of men in northeast Delhi's Khajuri Khas, police said on Monday.
 The victim has been identified as Anawarul Haq, a resident of Purniya in Bihar, they said.
 Haq worked in a Biharipur-based factory which made school bags, police said.
 A senior police officer said, ""On July 31, a PCR call was received at the Khajuri Khas police station that a person has been stabbed by some boys. Immediately, a police team reached the spot but by that time, the injured person was shifted to a hospital by the people."" The man was, however, declared brought dead at the hospital, he said. ""We have registered a case under section 302 (murder) and 34 (common intention) of the Indian Penal Code and an investigation has been taken up,"" he added.
 During investigation, teams scanned numerous CCTV footage at the spot. A footage showed some boys attacking the victim with knives and fleeing the spot, the officer said. The team has zeroed in on the suspects and the culprits are expected to be arrsted soon, he added.","['culprits', 'spot', 'death', 'suspects', 'anawarul haq', 'team', 'investigation', 'old man', 'police official', 'police', 'man', 'knives', 'person', 'time', 'murder', 'northeast delhi', 'khajuri khas police station', 'factory', 'biharipur', 'teams', 'footage', 'boys', 'men', 'officer', 'haq', 'khajuri khas', 'group', 'school bags', 'delhi', 'man stabbed', 'monday', 'purniya', 'senior police officer', 'july', 'hospital', 'year', 'pcr call', 'common intention', 'police team', 'case', 'numerous cctv footage', 'indian penal code', 'resident', 'victim', 'bihar', 'section', 'people']",Biharipur,28.7294211,77.25462012,22:00:00,07-31-2021,Murder
4,"2 Arrested For Trying To Rob ATM To ""Impress Girlfriend"": Cops
Around 2.15 am on Saturday, the police were informed that two people were trying to cut open an ATM using a gas welder, a senior officer said. Two men were arrested on Saturday for allegedly trying to rob an ATM in west Delhi's Ranhola area, police said. Officials identified them as Kamal (27) and Parveen (20) of Rajasthan's Dausa district. Around 2.15 am on Saturday, the police were informed that two people were trying to cut open an ATM using a gas welder, a senior officer said. On reaching the spot, police found that the duo had fled, leaving their equipment behind, he added. The police identified the accused using CCTV footage from the area and arrested them from Harphool Vihar, Baprola, Deputy Commissioner of Police (Outer) Sameer Sharma said. Kamal disclosed that he planned the theft, and together with his cousin Parveen, arranged the gas cutter, an LPG cylinder, and other instruments, the officer said.
","['impress girlfriend', 'police', 'lpg cylinder', 'equipment', 'spot', 'area', 'west delhi', 'duo', 'rajasthan', 'rob atm', 'harphool vihar', 'theft', 'gas welder', 'ranhola area', 'people', 'cousin parveen', 'parveen', 'outer', 'sameer sharma', 'cops', 'gas cutter', 'atm', 'senior officer', 'kamal', 'dausa district', 'cctv footage', 'other instruments', 'baprola', 'saturday', 'officer', 'men', 'officials', 'deputy commissioner']
",Ranhola Area,28.65568286,77.04083434,02:15:00,07-30-2022,Robbery
5,"14,000 Banned Knives, Imported From China, Seized By Delhi Cops; 5 Arrested
DCP South District, Benita Mary Jaiker said that 50 of the prohibited, button-activated knives, which are also known as Rampuri knives, were first recovered from an unclaimed package in CR Park. Over 14,000 banned knives, illegally imported from China, were seized in New Delhi on Wednesday. Five people have been arrested in the case and notices have been issued to e-commerce platforms Flipkart and Meesho for selling the banned knives on their portals, police said.
DCP South District, Benita Mary Jaiker said that 50 of the prohibited, button-activated knives, which are also known as Rampuri knives, were first recovered from an unclaimed package in CR Park.

Police traced the name and address of the sender, and arrived at a garment shop in Malviya Nagar owned by Mohammad Sahil. Over 500 of the illegal knives were found at the shop. Police thus arrested Mohammad Sahil, and his employee Wasim.

Police said that Mohammad Sahil had registered himself on e-commerce platforms and sold the knives online through his company, 'My Style', ANI reported.

Mohammad Sahil further informed the police of a third accomplice, Mohammad Yusuf, who would transport the illegal knives from Sadar Bazar in Central Delhi to Malviya Nagar.

Mohammad Yusuf led the police to Ashish Chawla, who would place orders for the knives in China. On arresting him, police seized over 13,000 knives from his warehouse.

Finally, police arrested the fifth accused in the racket, Mayank Babbar, owner of K2M Importer and Exporters whose office, ANI reported, is in China. Mayank Babbar revealed to the police that he had placed orders for 19,000 knives in the last year.

Police said that the role of custom officers in this case is also being investigated and notices have also been issued to e-commerce portal Meesho and Flipkart to see how they were selling banned knives.

""We are also looking at the possibility of involvement of Chinese state actors who might be in collision with the arrested Indians into pushing the contraband and to find out what else has been pushed into India under camouflaged names and titles,"" DCP South District said, reported ANI.","['new delhi', 'police', 'titles', 'garment shop', 'camouflaged names', 'central delhi', 'orders', 'office', 'employee wasim', 'mohammad sahil', 'warehouse', 'malviya nagar', 'knives', 'wednesday', 'cr park', 'e', 'involvement', 'contraband', 'button', 'dcp south district', 'role', 'china', 'notices', 'rampuri knives', 'k2 m importer', 'mayank babbar', 'people', 'flipkart', 'meesho', 'india', 'name', 'style', 'last year', '- commerce portal meesho', 'collision', 'company', 'portals', 'exporters', 'owner', 'possibility', 'unclaimed package', 'e - commerce platforms flipkart', 'case', 'custom officers', 'racket', '- commerce platforms', 'sadar bazar', 'third accomplice', 'address', 'illegal knives', 'sender', 'indians', 'mohammad yusuf', 'benita mary jaiker', 'ashish chawla', 'chinese state actors', 'ani', 'shop', 'delhi cops']",South Delhi,28.47724364,77.19953871,17:30:00,07-27-2022,Smuggling
6,"Ram Navami and Hanuman Jayanti violence: Important lessons to be drawn from these ugly riots
No fewer than a dozen incidents of extreme communal violence leading to disruption of normal life, vandalism, arson and looting were witnessed in 10 states. Ram Navami and Hanuman Jayanti are, comparatively, peaceful festivals, but this year was unusual and exceptional. It saw no fewer than a dozen incidents of extreme communal violence leading to disruption of normal life, vandalism, arson and looting across 10 states, including Gujarat, Madhya Pradesh, Jharkhand, West Bengal, Karnataka, Andhra Pradesh, Maharashtra, Uttarakhand and Goa. Surprisingly, a very communally sensitive state like Uttar Pradesh did not witness a single communal incident during this period.

The rioting, it seems, had a set pattern. Processions moved around with and without permission from authorities, resulting in severe brick-batting, ugly confrontation and a free for all as it happened at Karauli in Rajasthan and Khargone in Madhya Pradesh.

As for Delhi, it saw a repetition of communal violence after 2020. In Jahangirpuri, three processions were taken out: Two reportedly with police permission, and one without any permission, with a bizarre claim that the organisers had applied for permission but did not get any response from the police. They presumed that the permission had been granted (implied consent) and the procession was taken out, which led to serious incidents of rioting. Many vehicles were set on fire, a police sub-inspector was assaulted and sustained serious gunshot injuries, and two dozen people were arrested on the spot.

It was not just Jahangirpuri that saw these ugly incidents. The Jawaharlal Nehru University too witnessed unseemly clashes in the Kaveri Hostel where Akhil Bharatiya Vidyarthi Parishad students clashed with the students of Leftist ideology on something as trivial as the consumption of non-vegetarian food.","['vandalism', 'repetition', 'maharashtra', 'ugly riots', 'police', 'serious incidents', 'non - vegetarian food', 'goa', 'communal violence', 'dozen people', 'spot', 'uttar pradesh', 'police sub - inspector', 'police permission', 'ram navami', 'karauli', 'dozen incidents', 'rajasthan', 'single communal incident', 'hanuman jayanti', 'procession', 'unseemly clashes', 'khargone', 'something', 'arson', 'ugly confrontation', 'consent', 'many vehicles', 'students', 'madhya pradesh', 'states', 'permission', 'fire', 'severe brick', 'jharkhand', 'year', 'important lessons', 'kaveri hostel', 'disruption', 'period', 'delhi', 'bizarre claim', 'peaceful festivals', 'processions', 'batting', 'response', 'set pattern', 'gujarat', 'karnataka', 'leftist ideology', 'consumption', 'ugly incidents', 'hanuman jayanti violence', 'normal life', 'uttarakhand', 'serious gunshot injuries', 'rioting', 'authorities', 'sensitive state', 'extreme communal violence', 'looting', 'andhra pradesh', 'jahangirpuri', 'organisers', 'jawaharlal nehru university', 'akhil bharatiya vidyarthi', 'west bengal']",Jahangiripur,28.72936217,77.16747399,18:52:28,02-05-2022,Riot
7,"Gogi gang sharpshooter held after encounter in Delhi. A sharpshooter of the Gogi gang was arrested following an
encounter with the police near Bhalswa Dairy. He was asked to surrender
but he opened fire on the police team.
In retaliation, he was shot in the left leg, police said. Investigators claimed
that they have averted a major gang war as the accused was planning to
eliminate members of a rival gang.
The accused, Mukesh, a resident of Shahbad Dairy, has been involved in
more than seven criminal cases, including murder. One semi-automatic
pistol with three live cartridges was recovered from his possession. Acting on a tip-off that the accused would go to Bhalswa to meet his associate, police laid a trap, said deputy commissioner of
police (Special Cell) Jasmeet Singh. Around 12.40 am on Tuesday, an inspector spotted him coming from Swaroop Nagar and
going towards the landfill.
“He was signalled to stop by the members of the police team. As he tried to escape by reversing the bike, he was surrounded
by the team and asked to surrender,"" the DCP said, adding that Mukesh whipped out his pistol and fired at the cops. The police team also opened fire in self-defence and he was shot in the left leg. A total of five rounds, including three by the accused,
were fired during the encounter","['bhalswa dairy', 'police', 'members', 'major gang war', 'retaliation', 'special cell', 'sharpshooter', 'rounds', 'mukesh', 'resident', 'gogi gang', 'investigators', 'self', 'total', 'police team', 'inspector', 'swaroop nagar', 'live cartridges', 'tuesday', 'murder', 'criminal cases', 'dcp', 'left leg', 'fire', 'rival gang', 'associate', 'possession', 'landfill', 'cops', 'delhi', 'shahbad dairy', 'tip', 'encounter', 'defence', 'gogi gang sharpshooter', 'bike', 'bhalswa', 'trap', 'pistol', 'team', 'deputy commissioner', 'jasmeet singh']","Bhalswa Dairy, Bhalswa, Delhi",28.74702083,77.16319551,12:40:00,03-08-2022,Gun Fire
8,"Jeweller shot in face during robbery in Delhi,
two juveniles held. A 46-year-old jeweller was shot in the face
during a robbery in Najafgarh area of Dwarka on Tuesday.
Two juveniles were apprehended after a brief encounter, in
which one of them was injured.
The victim, Rajesh, lives in Najafgarh and runs a silver
jewellery shop with his brother Mukesh. Police said around
12pm, they received a call from Mukesh that his brother had
been shot.
DCP (Dwarka) M Harsha Vardhan said at the time of the
incident, Mukesh had gone to pick up his children from
school and Rajesh was alone at the shop. The two accused,
one of whom was carrying a country-made pistol, barged in
and threatened Rajesh to hand over money and other
valuables, he added. “They took Rs 25,000 from the cash box
and fired at the victim. A bullet pierced his jaw and he was
taken to hospital. He is stable after surgery,” the DCP said.
Following the incident, three teams were formed, one of
them led by inspector (special staff) Naveen Kumar. The
team scanned more than 50 cameras and spotted the
accused in footage. “We followed the CCTV trail. Finally, two and a half hours after the incident, both the accused were
tracked,” the officer said.
Cops found the two youths had gone up to the roof of a
building. Around 2:40pm, when police approached to catch
them, one of the accused fired a round from his countrymade pistol. The police team retaliated and fired two rounds.
One youth was hit on his leg and taken to hospital.
Police said the juveniles were hoping to find Rs 5-6 lakh at
the shop but weren’t able to open the main locker. Cases
under relevant IPC sections have been registered","['roof', 'face', 'police', 'm harsha vardhan', 'jaw', 'cameras', 'brother', 'brief encounter', 'rajesh', 'dwarka', 'jewellery shop', 'country', 'youths', 'special staff', 'rounds', 'cash box', 'mukesh', 'teams', 'round', 'old jeweller', 'incident', 'children', 'police team', 'inspector', 'robbery', 'tuesday', 'cases', 'surgery', 'najafgarh area', 'dcp', 'school', 'youth', 'najafgarh', 'year', 'cctv trail', 'pm', 'half hours', 'cops', 'call', 'delhi', 'footage', 'juveniles', 'rs', 'building', 'naveen kumar', 'lakh', 'relevant ipc sections', 'valuables', 'main locker', 'leg', 'victim', 'jeweller', 'brother mukesh', 'time', 'hospital', 'money', 'pistol', 'officer', 'team', 'countrymade pistol', 'bullet', 'shop']",Najafgarh,28.60933951,76.98244934,07:56,08-03-2022,"[Robbery, Gun Fire]"
9,"Rs 15 lakh worth foreign bills seized at Delhi
airport. An Indian passenger was held at with foreign
currency worth Rs 15.5 lakh concealed inside boxes of spices
and between the layers of papad packets at Indira Gandhi
International (IGI) airport.
CISF surveillance and intelligence staff of Terminal-3 noticed
suspicious activities of the passenger travelling to Bangkok
in the check-in area. He was then diverted to a random
checking point for thorough checking of his luggage.
A doubtful image of foreign currency was noticed in the
baggage. Senior officers of CISF and customs officials were
then informed. Thereafter, the passenger was allowed to
complete the check-in formalities and was kept under close
watch.
CISF officials said the passenger was handed over to
customs officials for further action.
In another case, a passenger was arrested at Delhi Airport
after he was found carrying foreign currency worth Rs 58
lakh in his bag. He was about to depart to Dubai on July 31","['airport', 'boxes', 'igi', 'bangkok', 'doubtful image', 'spices', 'senior officers', 'dubai', 'delhi airport', 'intelligence staff', 'area', 'thorough checking', 'customs officials', 'cisf', 'check', 'formalities', 'international', 'currency', 'foreign currency', 'suspicious activities', 'papad packets', 'passenger', 'layers', 'worth foreign bills', 'indira gandhi', 'cisf surveillance', 'delhi', 'rs', 'further action', 'lakh', 'july', 'case', 'indian passenger', 'worth rs', 'watch', 'luggage', 'terminal-3', 'checking point', 'baggage', 'cisf officials', 'bag']","Indira Gandhi International Airport (DEL), New Delhi, Delhi",28.55613411,77.0998827,04:50:00,08-03-2022,Smuggling
